account_id,city,latitude,longitude,ip_prefix,primary_channel,typical_amount,typical_hour,primary_device,secondary_device,primary_sim,shared_device_allowed,regret_limit_30d,interaction_ms_per_step,typing_interval_ms,tilt_variance,recipients
ng_acct_00014,Abuja,9.0765,7.3986,105.112.24.0/24,app,4880.0,16,device_00014_primary,device_00014_family,sim_00014_primary_verified,False,3,3351.468307195855,198.7727692459041,1.8152885622942079,"['ng_recipient_00014_0', 'ng_recipient_00014_1', 'ng_recipient_00014_2', 'ng_recipient_00014_3', 'ng_recipient_00014_4']"
ng_acct_00015,Kano,12.0022,8.592,197.210.8.0/24,app,4410.0,21,device_00015_primary,device_00015_family,sim_00015_primary_verified,True,3,4507.694506320058,196.924919847075,2.3799731318402295,"['ng_recipient_00015_0', 'ng_recipient_00015_1', 'ng_recipient_00015_2', 'ng_recipient_00015_3', 'ng_recipient_00015_4']"
ng_acct_00016,Port Harcourt,4.8156,7.0498,41.58.32.0/24,ussd,10050.0,11,device_00016_primary,device_00016_family,sim_00016_primary,True,3,2112.7680467559558,194.01613445386107,2.0635786645728564,"['ng_recipient_00016_0', 'ng_recipient_00016_1', 'ng_recipient_00016_2', 'ng_recipient_00016_3', 'ng_recipient_00016_4']"
ng_acct_00017,Ibadan,7.3775,3.947,102.89.6.0/24,ussd,2080.0,19,device_00017_primary,device_00017_family,sim_00017_primary,False,2,3899.478555292506,229.14778557098424,2.1479007467901248,"['ng_recipient_00017_0', 'ng_recipient_00017_1', 'ng_recipient_00017_2', 'ng_recipient_00017_3', 'ng_recipient_00017_4']"
ng_acct_00018,Enugu,6.4584,7.5464,197.211.40.0/24,agent,7450.0,11,device_00018_primary,device_00018_family,sim_00018_primary,False,3,3737.9882255774737,246.82470918497228,2.244855856843508,"['ng_recipient_00018_0', 'ng_recipient_00018_1', 'ng_recipient_00018_2', 'ng_recipient_00018_3', 'ng_recipient_00018_4']"
ng_acct_00019,Lagos,6.5244,3.3792,102.88.10.0/24,app,2080.0,17,device_00019_primary,device_00019_family,sim_00019_primary,True,3,3305.963236073626,263.7304385244622,2.865737768365145,"['ng_recipient_00019_0', 'ng_recipient_00019_1', 'ng_recipient_00019_2', 'ng_recipient_00019_3', 'ng_recipient_00019_4']"
ng_acct_00020,Abuja,9.0765,7.3986,105.112.24.0/24,ussd,800.0,17,device_00020_primary,device_00020_family,sim_00020_primary,False,3,2678.9873506638846,193.18232387488376,2.5194012774091354,"['ng_recipient_00020_0', 'ng_recipient_00020_1', 'ng_recipient_00020_2', 'ng_recipient_00020_3', 'ng_recipient_00020_4']"
ng_acct_00021,Kano,12.0022,8.592,197.210.8.0/24,app,13310.0,16,device_00021_primary,device_00021_family,sim_00021_primary,False,2,3724.433941408006,151.64321957745207,2.268514933285396,"['ng_recipient_00021_0', 'ng_recipient_00021_1', 'ng_recipient_00021_2', 'ng_recipient_00021_3', 'ng_recipient_00021_4']"
ng_acct_00022,Port Harcourt,4.8156,7.0498,41.58.32.0/24,app,8150.0,16,device_00022_primary,device_00022_family,sim_00022_primary,True,3,3305.2776654030313,111.14927649048178,2.673250177338451,"['ng_recipient_00022_0', 'ng_recipient_00022_1', 'ng_recipient_00022_2', 'ng_recipient_00022_3', 'ng_recipient_00022_4']"
ng_acct_00023,Ibadan,7.3775,3.947,102.89.6.0/24,ussd,34700.0,17,device_00023_primary,device_00023_family,sim_00023_primary,False,3,5331.301134546231,157.78887093195246,2.8338062129770165,"['ng_recipient_00023_0', 'ng_recipient_00023_1', 'ng_recipient_00023_2', 'ng_recipient_00023_3', 'ng_recipient_00023_4']"
ng_acct_00024,Enugu,6.4584,7.5464,197.211.40.0/24,ussd,11950.0,13,device_00024_primary,device_00024_family,sim_00024_primary,False,3,3971.120483924368,166.3493451308921,3.1164483548277286,"['ng_recipient_00024_0', 'ng_recipient_00024_1', 'ng_recipient_00024_2', 'ng_recipient_00024_3', 'ng_recipient_00024_4']"
ng_acct_00025,Lagos,6.5244,3.3792,102.88.10.0/24,app,12200.0,17,device_00025_primary,device_00025_family,sim_00025_primary_verified,False,3,4849.792019880773,229.77719718630215,2.7479900137620987,"['ng_recipient_00025_0', 'ng_recipient_00025_1', 'ng_recipient_00025_2', 'ng_recipient_00025_3', 'ng_recipient_00025_4']"
ng_acct_00026,Abuja,9.0765,7.3986,105.112.24.0/24,ussd,7620.0,10,device_00026_primary,device_00026_family,sim_00026_primary,True,3,4091.024466191126,182.85528798902735,0.3389223780280082,"['ng_recipient_00026_0', 'ng_recipient_00026_1', 'ng_recipient_00026_2', 'ng_recipient_00026_3', 'ng_recipient_00026_4']"
ng_acct_00027,Kano,12.0022,8.592,197.210.8.0/24,app,3470.0,19,device_00027_primary,device_00027_family,sim_00027_primary_verified_verified,True,3,3732.5712319733407,138.0743158765518,1.5973725954027658,"['ng_recipient_00027_0', 'ng_recipient_00027_1', 'ng_recipient_00027_2', 'ng_recipient_00027_3', 'ng_recipient_00027_4']"
ng_acct_00028,Port Harcourt,4.8156,7.0498,41.58.32.0/24,app,4960.0,17,device_00028_primary,device_00028_family,sim_00028_primary,True,3,3867.44667130307,191.26229823121474,2.4867739728122658,"['ng_recipient_00028_0', 'ng_recipient_00028_1', 'ng_recipient_00028_2', 'ng_recipient_00028_3', 'ng_recipient_00028_4']"
ng_acct_00029,Ibadan,7.3775,3.947,102.89.6.0/24,app,3140.0,8,device_00029_primary,device_00029_family,sim_00029_primary_verified_verified,False,3,3668.511304109087,173.3710877020074,2.603026959755646,"['ng_recipient_00029_0', 'ng_recipient_00029_1', 'ng_recipient_00029_2', 'ng_recipient_00029_3', 'ng_recipient_00029_4']"
ng_acct_00030,Enugu,6.4584,7.5464,197.211.40.0/24,app,4700.0,12,device_00030_primary,device_00030_family,sim_00030_primary,False,2,3170.2189248228506,168.32492511817884,1.5468691313353897,"['ng_recipient_00030_0', 'ng_recipient_00030_1', 'ng_recipient_00030_2', 'ng_recipient_00030_3', 'ng_recipient_00030_4']"
ng_acct_00031,Lagos,6.5244,3.3792,102.88.10.0/24,ussd,2920.0,17,device_00031_primary,device_00031_family,sim_00031_primary,False,3,3841.6979680033714,183.4351667390334,1.9990979949693606,"['ng_recipient_00031_0', 'ng_recipient_00031_1', 'ng_recipient_00031_2', 'ng_recipient_00031_3', 'ng_recipient_00031_4']"
ng_acct_00032,Abuja,9.0765,7.3986,105.112.24.0/24,app,3920.0,16,device_00032_primary,device_00032_family,sim_00032_primary,False,2,4654.9227830408645,243.69530724752022,3.2128460992501924,"['ng_recipient_00032_0', 'ng_recipient_00032_1', 'ng_recipient_00032_2', 'ng_recipient_00032_3', 'ng_recipient_00032_4']"
ng_acct_00033,Kano,12.0022,8.592,197.210.8.0/24,agent,7210.0,11,device_00033_primary,device_00033_family,sim_00033_primary_verified,False,4,4982.336256259366,278.8256335002426,2.938651645487093,"['ng_recipient_00033_0', 'ng_recipient_00033_1', 'ng_recipient_00033_2', 'ng_recipient_00033_3', 'ng_recipient_00033_4']"
ng_acct_00034,Port Harcourt,4.8156,7.0498,41.58.32.0/24,agent,2050.0,7,device_00034_primary,device_00034_family,sim_00034_primary,True,4,3550.8387523331216,143.43037629961617,2.331786678108703,"['ng_recipient_00034_0', 'ng_recipient_00034_1', 'ng_recipient_00034_2', 'ng_recipient_00034_3', 'ng_recipient_00034_4']"
ng_acct_00035,Ibadan,7.3775,3.947,102.89.6.0/24,ussd,4170.0,9,device_00035_primary,device_00035_family,sim_00035_primary,True,4,3712.4392083051475,149.2903373093718,2.858319627120879,"['ng_recipient_00035_0', 'ng_recipient_00035_1', 'ng_recipient_00035_2', 'ng_recipient_00035_3', 'ng_recipient_00035_4']"
ng_acct_00036,Enugu,6.4584,7.5464,197.211.40.0/24,app,7960.0,6,device_00036_primary,device_00036_family,sim_00036_primary,False,3,3661.4305350463437,128.2030142779917,1.393933474064708,"['ng_recipient_00036_0', 'ng_recipient_00036_1', 'ng_recipient_00036_2', 'ng_recipient_00036_3', 'ng_recipient_00036_4']"
ng_acct_00037,Lagos,6.5244,3.3792,102.88.10.0/24,app,2780.0,13,device_00037_primary,device_00037_family,sim_00037_primary,True,3,3705.427462089914,191.11628058386614,2.779335050380184,"['ng_recipient_00037_0', 'ng_recipient_00037_1', 'ng_recipient_00037_2', 'ng_recipient_00037_3', 'ng_recipient_00037_4']"
ng_acct_00038,Abuja,9.0765,7.3986,105.112.24.0/24,app,6250.0,7,device_00038_primary,device_00038_family,sim_00038_primary,True,3,3277.2492370884015,181.43232390091302,2.9284142660059387,"['ng_recipient_00038_0', 'ng_recipient_00038_1', 'ng_recipient_00038_2', 'ng_recipient_00038_3', 'ng_recipient_00038_4']"
ng_acct_00039,Kano,12.0022,8.592,197.210.8.0/24,app,12660.0,10,device_00039_primary,device_00039_family,sim_00039_primary_verified,False,3,2682.330450460441,272.6187092659099,2.9383871344882366,"['ng_recipient_00039_0', 'ng_recipient_00039_1', 'ng_recipient_00039_2', 'ng_recipient_00039_3', 'ng_recipient_00039_4']"
ng_acct_00040,Port Harcourt,4.8156,7.0498,41.58.32.0/24,app,1920.0,8,device_00040_primary,device_00040_family,sim_00040_primary,True,3,3176.696642164328,199.9141617501724,1.8920326859841636,"['ng_recipient_00040_0', 'ng_recipient_00040_1', 'ng_recipient_00040_2', 'ng_recipient_00040_3', 'ng_recipient_00040_4']"
ng_acct_00041,Ibadan,7.3775,3.947,102.89.6.0/24,ussd,8420.0,21,device_00041_primary,device_00041_family,sim_00041_primary,True,4,5524.577271614711,218.14815980343795,2.5472902296096005,"['ng_recipient_00041_0', 'ng_recipient_00041_1', 'ng_recipient_00041_2', 'ng_recipient_00041_3', 'ng_recipient_00041_4']"
ng_acct_00042,Enugu,6.4584,7.5464,197.211.40.0/24,ussd,2170.0,14,device_00042_primary,device_00042_family,sim_00042_primary_verified,True,3,4641.520468476836,192.2524292289435,3.3222133404029224,"['ng_recipient_00042_0', 'ng_recipient_00042_1', 'ng_recipient_00042_2', 'ng_recipient_00042_3', 'ng_recipient_00042_4']"
ng_acct_00043,Lagos,6.5244,3.3792,102.88.10.0/24,app,2850.0,17,device_00043_primary,device_00043_family,sim_00043_primary,False,4,4007.5375270536633,157.48592499499085,2.3558651892336724,"['ng_recipient_00043_0', 'ng_recipient_00043_1', 'ng_recipient_00043_2', 'ng_recipient_00043_3', 'ng_recipient_00043_4']"
ng_acct_00044,Abuja,9.0765,7.3986,105.112.24.0/24,app,2380.0,13,device_00044_primary,device_00044_family,sim_00044_primary,True,3,4167.040269649451,168.8870174137962,1.9867346014115816,"['ng_recipient_00044_0', 'ng_recipient_00044_1', 'ng_recipient_00044_2', 'ng_recipient_00044_3', 'ng_recipient_00044_4']"
ng_acct_00045,Kano,12.0022,8.592,197.210.8.0/24,app,3080.0,18,device_00045_primary,device_00045_family,sim_00045_primary_verified,True,3,2894.2354636475457,183.7862011801762,2.091973708438803,"['ng_recipient_00045_0', 'ng_recipient_00045_1', 'ng_recipient_00045_2', 'ng_recipient_00045_3', 'ng_recipient_00045_4']"
ng_acct_00046,Port Harcourt,4.8156,7.0498,41.58.32.0/24,ussd,6200.0,8,device_00046_primary,device_00046_family,sim_00046_primary,True,2,2873.279121531602,146.28676094490706,2.154982903378499,"['ng_recipient_00046_0', 'ng_recipient_00046_1', 'ng_recipient_00046_2', 'ng_recipient_00046_3', 'ng_recipient_00046_4']"
ng_acct_00047,Ibadan,7.3775,3.947,102.89.6.0/24,app,2840.0,11,device_00047_primary,device_00047_family,sim_00047_primary,True,3,3803.1112742694586,205.56405290915737,2.6360557445076758,"['ng_recipient_00047_0', 'ng_recipient_00047_1', 'ng_recipient_00047_2', 'ng_recipient_00047_3', 'ng_recipient_00047_4']"
ng_acct_00048,Enugu,6.4584,7.5464,197.211.40.0/24,app,8060.0,13,device_00048_primary,device_00048_family,sim_00048_primary,True,3,2103.021834461594,225.70033883224028,1.8072757462045013,"['ng_recipient_00048_0', 'ng_recipient_00048_1', 'ng_recipient_00048_2', 'ng_recipient_00048_3', 'ng_recipient_00048_4']"
ng_acct_00049,Lagos,6.5244,3.3792,102.88.10.0/24,ussd,7670.0,21,device_00049_primary,device_00049_family,sim_00049_primary,False,3,2883.6192012939287,198.88481432716947,2.5314863744145613,"['ng_recipient_00049_0', 'ng_recipient_00049_1', 'ng_recipient_00049_2', 'ng_recipient_00049_3', 'ng_recipient_00049_4']"
ng_acct_00050,Abuja,9.0765,7.3986,105.112.24.0/24,ussd,3000.0,19,device_00050_primary,device_00050_family,sim_00050_primary,False,2,3774.0142616167277,226.0891159412211,2.0694244068249446,"['ng_recipient_00050_0', 'ng_recipient_00050_1', 'ng_recipient_00050_2', 'ng_recipient_00050_3', 'ng_recipient_00050_4']"
ng_acct_00051,Kano,12.0022,8.592,197.210.8.0/24,ussd,1660.0,10,device_00051_primary,device_00051_family,sim_00051_primary,False,3,3317.6827241936944,185.02067600207218,3.414314635054944,"['ng_recipient_00051_0', 'ng_recipient_00051_1', 'ng_recipient_00051_2', 'ng_recipient_00051_3', 'ng_recipient_00051_4']"
ng_acct_00052,Port Harcourt,4.8156,7.0498,41.58.32.0/24,ussd,3850.0,20,device_00052_primary,device_00052_family,sim_00052_primary,True,3,3878.459953729217,221.19231346937954,3.1595362932785536,"['ng_recipient_00052_0', 'ng_recipient_00052_1', 'ng_recipient_00052_2', 'ng_recipient_00052_3', 'ng_recipient_00052_4']"
ng_acct_00053,Ibadan,7.3775,3.947,102.89.6.0/24,ussd,4430.0,14,device_00053_primary,device_00053_family,sim_00053_primary,False,2,3210.7645528077005,181.85829021012634,2.707305183708035,"['ng_recipient_00053_0', 'ng_recipient_00053_1', 'ng_recipient_00053_2', 'ng_recipient_00053_3', 'ng_recipient_00053_4']"
ng_acct_00054,Enugu,6.4584,7.5464,197.211.40.0/24,ussd,990.0,12,device_00054_primary,device_00054_family,sim_00054_primary,False,3,4550.26177927795,211.28694881505473,2.83638918222911,"['ng_recipient_00054_0', 'ng_recipient_00054_1', 'ng_recipient_00054_2', 'ng_recipient_00054_3', 'ng_recipient_00054_4']"
ng_acct_00055,Lagos,6.5244,3.3792,102.88.10.0/24,ussd,5180.0,20,device_00055_primary,device_00055_family,sim_00055_primary,False,2,2878.129558603164,194.07841640921615,2.750455209297059,"['ng_recipient_00055_0', 'ng_recipient_00055_1', 'ng_recipient_00055_2', 'ng_recipient_00055_3', 'ng_recipient_00055_4']"
ng_acct_00056,Abuja,9.0765,7.3986,105.112.24.0/24,app,6260.0,15,device_00056_primary,device_00056_family,sim_00056_primary,False,3,3095.173973515072,156.42480198556652,2.1041375891089897,"['ng_recipient_00056_0', 'ng_recipient_00056_1', 'ng_recipient_00056_2', 'ng_recipient_00056_3', 'ng_recipient_00056_4']"
ng_acct_00057,Kano,12.0022,8.592,197.210.8.0/24,app,3530.0,6,device_00057_primary,device_00057_family,sim_00057_primary,False,4,3919.4205171500826,213.84609251298627,2.693123896939718,"['ng_recipient_00057_0', 'ng_recipient_00057_1', 'ng_recipient_00057_2', 'ng_recipient_00057_3', 'ng_recipient_00057_4']"
ng_acct_00058,Port Harcourt,4.8156,7.0498,41.58.32.0/24,app,12470.0,7,device_00058_primary,device_00058_family,sim_00058_primary,True,3,3143.7788557332824,207.7017104996771,1.8097615710517108,"['ng_recipient_00058_0', 'ng_recipient_00058_1', 'ng_recipient_00058_2', 'ng_recipient_00058_3', 'ng_recipient_00058_4']"
ng_acct_00059,Ibadan,7.3775,3.947,102.89.6.0/24,ussd,7440.0,6,device_00059_primary,device_00059_family,sim_00059_primary,False,4,4075.0066241978375,158.39949700602887,2.609141906885235,"['ng_recipient_00059_0', 'ng_recipient_00059_1', 'ng_recipient_00059_2', 'ng_recipient_00059_3', 'ng_recipient_00059_4']"
ng_acct_00060,Enugu,6.4584,7.5464,197.211.40.0/24,ussd,4930.0,15,device_00060_primary,device_00060_family,sim_00060_primary_verified_verified,False,3,3043.9766846251982,125.30765683816642,3.452958008366406,"['ng_recipient_00060_0', 'ng_recipient_00060_1', 'ng_recipient_00060_2', 'ng_recipient_00060_3', 'ng_recipient_00060_4']"
ng_acct_00061,Lagos,6.5244,3.3792,102.88.10.0/24,agent,3900.0,12,device_00061_primary,device_00061_family,sim_00061_primary,False,2,3186.2822439665706,156.0560782901389,2.4304760157689413,"['ng_recipient_00061_0', 'ng_recipient_00061_1', 'ng_recipient_00061_2', 'ng_recipient_00061_3', 'ng_recipient_00061_4']"
ng_acct_00062,Abuja,9.0765,7.3986,105.112.24.0/24,ussd,2620.0,9,device_00062_primary,device_00062_family,sim_00062_primary,True,3,3604.108377845148,232.78698590044604,1.5176294336810598,"['ng_recipient_00062_0', 'ng_recipient_00062_1', 'ng_recipient_00062_2', 'ng_recipient_00062_3', 'ng_recipient_00062_4']"
ng_acct_00063,Kano,12.0022,8.592,197.210.8.0/24,app,4030.0,13,device_00063_primary,device_00063_family,sim_00063_primary,False,3,3859.869428018814,155.51157842253616,1.364828008261746,"['ng_recipient_00063_0', 'ng_recipient_00063_1', 'ng_recipient_00063_2', 'ng_recipient_00063_3', 'ng_recipient_00063_4']"
ng_acct_00064,Port Harcourt,4.8156,7.0498,41.58.32.0/24,agent,5150.0,19,device_00064_primary,device_00064_family,sim_00064_primary,True,3,2704.986802561747,194.30209354706471,2.9871856438293234,"['ng_recipient_00064_0', 'ng_recipient_00064_1', 'ng_recipient_00064_2', 'ng_recipient_00064_3', 'ng_recipient_00064_4']"
ng_acct_00065,Ibadan,7.3775,3.947,102.89.6.0/24,app,9540.0,21,device_00065_primary,device_00065_family,sim_00065_primary_verified,False,3,3884.7297565706976,156.49158747152308,1.8078866114538572,"['ng_recipient_00065_0', 'ng_recipient_00065_1', 'ng_recipient_00065_2', 'ng_recipient_00065_3', 'ng_recipient_00065_4']"
ng_acct_00066,Enugu,6.4584,7.5464,197.211.40.0/24,app,5070.0,19,device_00066_primary,device_00066_family,sim_00066_primary,True,4,4159.836946207773,149.73497841127408,2.609448910750993,"['ng_recipient_00066_0', 'ng_recipient_00066_1', 'ng_recipient_00066_2', 'ng_recipient_00066_3', 'ng_recipient_00066_4']"
ng_acct_00067,Lagos,6.5244,3.3792,102.88.10.0/24,ussd,2680.0,11,device_00067_primary,device_00067_family,sim_00067_primary,True,3,3043.7220702024542,144.69958085507446,2.9005394661735746,"['ng_recipient_00067_0', 'ng_recipient_00067_1', 'ng_recipient_00067_2', 'ng_recipient_00067_3', 'ng_recipient_00067_4']"
ng_acct_00068,Abuja,9.0765,7.3986,105.112.24.0/24,agent,2360.0,18,device_00068_primary,device_00068_family,sim_00068_primary,False,3,4018.8257642571316,241.5397026930033,3.5319634112088245,"['ng_recipient_00068_0', 'ng_recipient_00068_1', 'ng_recipient_00068_2', 'ng_recipient_00068_3', 'ng_recipient_00068_4']"
ng_acct_00069,Kano,12.0022,8.592,197.210.8.0/24,agent,2040.0,10,device_00069_primary,device_00069_family,sim_00069_primary,False,3,4422.523773119849,122.8785385550096,2.735084701370814,"['ng_recipient_00069_0', 'ng_recipient_00069_1', 'ng_recipient_00069_2', 'ng_recipient_00069_3', 'ng_recipient_00069_4']"
ng_acct_00070,Port Harcourt,4.8156,7.0498,41.58.32.0/24,app,43360.0,11,device_00070_primary,device_00070_family,sim_00070_primary,False,4,3621.119691577788,211.36825400865567,2.100702782465136,"['ng_recipient_00070_0', 'ng_recipient_00070_1', 'ng_recipient_00070_2', 'ng_recipient_00070_3', 'ng_recipient_00070_4']"
ng_acct_00071,Ibadan,7.3775,3.947,102.89.6.0/24,app,10090.0,12,device_00071_primary,device_00071_family,sim_00071_primary_verified,True,3,3355.747091343469,247.098690551032,2.5181342992319813,"['ng_recipient_00071_0', 'ng_recipient_00071_1', 'ng_recipient_00071_2', 'ng_recipient_00071_3', 'ng_recipient_00071_4']"
ng_acct_00072,Enugu,6.4584,7.5464,197.211.40.0/24,ussd,1750.0,15,device_00072_primary,device_00072_family,sim_00072_primary,False,3,4796.342815750698,191.277239954886,3.1714337139629953,"['ng_recipient_00072_0', 'ng_recipient_00072_1', 'ng_recipient_00072_2', 'ng_recipient_00072_3', 'ng_recipient_00072_4']"
ng_acct_00073,Lagos,6.5244,3.3792,102.88.10.0/24,app,7380.0,21,device_00073_primary,device_00073_family,sim_00073_primary,True,3,3329.859122569913,190.76166112329912,2.361016994396832,"['ng_recipient_00073_0', 'ng_recipient_00073_1', 'ng_recipient_00073_2', 'ng_recipient_00073_3', 'ng_recipient_00073_4']"
ng_acct_00074,Abuja,9.0765,7.3986,105.112.24.0/24,ussd,1750.0,19,device_00074_primary,device_00074_family,sim_00074_primary_verified,True,3,4195.555950875812,250.3572806476346,2.5279144716474238,"['ng_recipient_00074_0', 'ng_recipient_00074_1', 'ng_recipient_00074_2', 'ng_recipient_00074_3', 'ng_recipient_00074_4']"
ng_acct_00075,Kano,12.0022,8.592,197.210.8.0/24,agent,1730.0,12,device_00075_primary,device_00075_family,sim_00075_primary,False,3,2369.997547959556,180.46301297808358,1.5869769415268684,"['ng_recipient_00075_0', 'ng_recipient_00075_1', 'ng_recipient_00075_2', 'ng_recipient_00075_3', 'ng_recipient_00075_4']"
ng_acct_00076,Port Harcourt,4.8156,7.0498,41.58.32.0/24,ussd,6480.0,21,device_00076_primary,device_00076_family,sim_00076_primary_verified,False,3,2853.960398338494,191.70817669357768,4.03195118399271,"['ng_recipient_00076_0', 'ng_recipient_00076_1', 'ng_recipient_00076_2', 'ng_recipient_00076_3', 'ng_recipient_00076_4']"
ng_acct_00077,Ibadan,7.3775,3.947,102.89.6.0/24,app,4800.0,15,device_00077_primary,device_00077_family,sim_00077_primary,False,3,4432.432833471587,228.853999299499,3.0536061355895985,"['ng_recipient_00077_0', 'ng_recipient_00077_1', 'ng_recipient_00077_2', 'ng_recipient_00077_3', 'ng_recipient_00077_4']"
ng_acct_00078,Enugu,6.4584,7.5464,197.211.40.0/24,ussd,3960.0,19,device_00078_primary,device_00078_family,sim_00078_primary,False,3,3678.1764050651163,204.94619407596267,1.6983801278504966,"['ng_recipient_00078_0', 'ng_recipient_00078_1', 'ng_recipient_00078_2', 'ng_recipient_00078_3', 'ng_recipient_00078_4']"
ng_acct_00079,Lagos,6.5244,3.3792,102.88.10.0/24,app,4850.0,19,device_00079_primary,device_00079_family,sim_00079_primary,False,3,3532.4062264290865,176.85963497240817,1.7197264831781003,"['ng_recipient_00079_0', 'ng_recipient_00079_1', 'ng_recipient_00079_2', 'ng_recipient_00079_3', 'ng_recipient_00079_4']"
ng_acct_00080,Abuja,9.0765,7.3986,105.112.24.0/24,app,4890.0,12,device_00080_primary,device_00080_family,sim_00080_primary_verified,False,2,4200.79723019209,165.40870132280114,1.9039418259560659,"['ng_recipient_00080_0', 'ng_recipient_00080_1', 'ng_recipient_00080_2', 'ng_recipient_00080_3', 'ng_recipient_00080_4']"
ng_acct_00081,Kano,12.0022,8.592,197.210.8.0/24,ussd,2730.0,11,device_00081_primary,device_00081_family,sim_00081_primary,False,2,4129.247480557922,221.66371658271746,2.1586529739737554,"['ng_recipient_00081_0', 'ng_recipient_00081_1', 'ng_recipient_00081_2', 'ng_recipient_00081_3', 'ng_recipient_00081_4']"
